region,Округ,Год,Наименование,№ строки,projects," Численность участников форумов соответствующего уровня, чел", Объeм рег. финансирования (в том числе посредством финансирования транспортных и, Объeм мун. финансирования (в том числе посредством финансирования транспортных и
Московская область,ЦФО,2021,Окружные молодeжные форумы,56, 1 , 250 , 7 400 000 , - 
Московская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 14 050 , 29 500 000 ,
Московская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 19 , 13 866 , - , 6 347 930 
Московская область,ЦФО,2021,Всего,59, 26 , 28 166 , 36 900 000 , 6 347 930 
Мурманская область,СЗФО,2021,Всероссийские молодeжные форумы,55,,,,
Мурманская область,СЗФО,2021,Окружные молодeжные форумы,56, 1 , 150 , 1 407 175 ,
Мурманская область,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 19 , 4 638 , 19 230 625 , 7 000 
Мурманская область,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 18 , 1 338 , 203 508 , 482 690 
Мурманская область,СЗФО,2021,Всего,59, 38 , 6 126 , 20 841 308 , 489 690 
Ненецкий автономный округ,СЗФО,2021,Всероссийские молодeжные форумы,55, - , - , 3 539 600 , - 
Ненецкий автономный округ,СЗФО,2021,Окружные молодeжные форумы,56, - , - , 105 000 , - 
Ненецкий автономный округ,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 25 , 210 000 , - 
Ненецкий автономный округ,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - , - , - , - 
Ненецкий автономный округ,СЗФО,2021,Всего,59, 1 , 25 , 3 854 600 , - 
Нижегородская область,ПФО,2021,Всероссийские молодeжные форумы,55, - , - , 1 212 605 , 18 470 
Нижегородская область,ПФО,2021,Окружные молодeжные форумы,56, - , - , - , 40 000 
Нижегородская область,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 2 780 , 3 457 919 , 124 800 
Нижегородская область,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 49 , 9 437 , - , 2 080 678 
Нижегородская область,ПФО,2021,Всего,59, 55 , 12 217 , 4 670 524 , 2 263 948 
Новгородская область,СЗФО,2021,Всероссийские молодeжные форумы,55, - , 91 , 591 889 , 2 000 
Новгородская область,СЗФО,2021,Окружные молодeжные форумы,56, - , 64 , 176 493 , - 
Новгородская область,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 179 , 366 262 , 49 530 
